,Question Entity,Answer
['ജിഞ്ചർ റോജേഴ്‌സിനെക്കുറിച്ചുള്ള സിനിമകൾ'],['ജിഞ്ചർ റോജേഴ്സ്'],"[['ടോപ്പ് ഹാറ്റ്', 'കിറ്റി ഫോയിൽ', 'ദി ബാർക്ക്ലിസ് ഓഫ് ബ്രോഡ്‌വേ']]"
['ഏതൊക്കെ സിനിമകളെയാണ് മൂറിന് വിവരിക്കാൻ കഴിയുക'],['മൂർ'],"[['ഫാരൻഹീറ്റ് 9/11', 'സ്വർഗ്ഗത്തിൽ നിന്ന് വളരെ അകലെ']]"
['ഏതൊക്കെ സിനിമകളെ തൊഴിൽ കൊണ്ട് വിവരിക്കാം'],['തൊഴിൽ'],"[['റെഡ് ഡോൺ', 'ആഗസ്റ്റ് ചന്ദ്രന്റെ ചായക്കട']]"
['ഏത് സിനിമകളാണ് ജാക്വസ് ടാറ്റിയെക്കുറിച്ചുള്ളത്'],['ജാക്വസ് ടാറ്റി'],"[['പ്ലേടൈം', 'ട്രാഫിക്', 'മോൺ ഓങ്കിൾ']]"
['ഡോണി ഡാർക്കോയെക്കുറിച്ചുള്ള സിനിമകൾ എന്തൊക്കെയാണ്'],['ഡോണി ഡാർക്കോ'],[[ന്റെ. ഡാർക്കോ']]
['ബെൻ സ്റ്റില്ലർ ഉപയോഗിച്ച് എന്ത് സിനിമകളെ വിവരിക്കാം'],['ബെൻ സ്റ്റില്ലർ'],"[['സൂലാൻഡർ', 'വിശ്വാസം നിലനിർത്തൽ', 'മഡഗാസ്കർ', 'ദി കേബിൾ ഗൈ', 'സീറോ ഇഫക്റ്റ്', 'വാൾട്ടർ മിറ്റിയുടെ രഹസ്യ ജീവിതം', 'നൈറ്റ് അറ്റ് ദി മ്യൂസിയം', 'ദി ഹാർട്ട് ബ്രേക്ക് കിഡ്', ' ദി റോയൽ ടെനൻബോംസ്', 'മീറ്റ് ദ ഫോക്കേഴ്‌സ്', 'അസൂയ', 'ഡ്യൂപ്ലക്സ്', 'റിയാലിറ്റി ബൈറ്റ്സ്', 'ട്രോപിക് ഇടി', 'ടവർ ഹീസ്റ്റ്', 'അലോംഗ് കം പോളി', 'ഗ്രീൻബെർഗ്', ""മേരിയെക്കുറിച്ച് എന്തോ ഉണ്ട്"" , 'ചെറിയ ഫോക്കർമാർ', 'ദുരന്തവുമായി ഉല്ലസിക്കുന്നു', 'മാതാപിതാക്കളെ കണ്ടുമുട്ടുക']]"
['ഡില്ലിംഗറിനെക്കുറിച്ചുള്ള സിനിമകൾ'],['ഡില്ലിംഗർ'],[['പൊതു ശത്രുക്കൾ']]
['ക്രിസ് നൂനനൊപ്പം എന്ത് സിനിമകളെ വിവരിക്കാം'],['ക്രിസ് നൂനൻ'],"[['മിസ് പോട്ടർ', 'ബേബ്']]"
['ജോർജ് പാലിനെക്കുറിച്ചുള്ള സിനിമകൾ ഏതൊക്കെയാണ്'],['ജോർജ് സുഹൃത്ത്'],"[['സമയ യന്ത്രം', 'ഡോയുടെ 7 മുഖങ്ങൾ. ലാവോ']]"
['റോഡ് ലൂറിയെ കുറിച്ചുള്ള സിനിമകൾ'],['റോഡ് ലൂറി'],"[['മത്സരാർത്ഥി', 'ചാമ്പ് പുനരുജ്ജീവിപ്പിക്കുന്നു', 'അവസാന കോട്ട']]"
['പ്രതിരോധത്തിന്റെ വിഷാദം കൊണ്ട് എന്ത് സിനിമകളെ വിശേഷിപ്പിക്കാം'],['പ്രതിരോധത്തിന്റെ വിഷാദം'],[['വെർക്ക്‌മീസ്റ്റർ ഹാർമോണിയീസ്']]
['ക്യൂബെക്കിനെ കുറിച്ചുള്ള സിനിമകൾ'],['ക്യൂബെക്ക്'],"[['കറുത്ത അങ്കി', 'പോളിടെക്നിക്ക്']]"
['ഗ്രഹത്തെക്കുറിച്ചുള്ള സിനിമകൾ'],['ഗ്രഹം'],"[['അന്യഗ്രഹജീവികൾ', 'കുരങ്ങുകളുടെ ഗ്രഹത്തിന്റെ ഉദയം']]"
['ഏതൊക്കെ സിനിമകളാണ് എസ്.ഇ. ഹിന്റൺ'],['s.e. ഹിന്റൺ'],"[['പുറത്തുനിന്നുള്ളവർ', 'അത് അന്നായിരുന്നു... ഇത് ഇപ്പോൾ']]"
['കേരി മുള്ളിഗന് എന്ത് സിനിമകളെ വിവരിക്കാം'],['കാരി മുള്ളിഗൻ'],"[['ഏറ്റവും വലിയത്', 'ഡ്രൈവ്', 'എന്നെ ഒരിക്കലും പോകാൻ അനുവദിക്കരുത്', 'ദ ഗ്രേറ്റ് ഗാറ്റ്‌സ്‌ബൈ', 'ലജ്ജ', 'ഒരു വിദ്യാഭ്യാസം']]"
['ഏത് സിനിമകളാണ് സ്റ്റീവ് ഒഡെകെർക്കിനെക്കുറിച്ചുള്ളത്'],['സ്റ്റീവ് ഒഡെകെർക്ക്'],[['നഷ്ടപ്പെടാൻ ഒന്നുമില്ല']]
['കൗമാരക്കാർക്ക് വിവരിക്കാൻ കഴിയുന്ന സിനിമകൾ'],['കൗമാരക്കാർ'],"[['കുട്ടികൾ', 'കുട്ടിക്കാലം', 'കെൻ പാർക്ക്', 'റിമെംബർ ദ ഡെസ്']]"
['80കളിലെ സിനിമകൾ ഏതൊക്കെയാണ്'],['80കൾ'],"[['ഫ്ലാഷ്‌ഡാൻസ്', 'ബിഗ്', 'ദി മോൺസ്റ്റർ സ്ക്വാഡ്', 'ഏതോ അത്ഭുതം']]"
['ജൂസോ ഇറ്റാമിക്ക് എന്ത് സിനിമകളെ വിവരിക്കാം'],['ജുസോ ഇറ്റാമി'],"[['തംപോപോ', 'ശവസംസ്കാരം', 'നികുതി നൽകുന്ന സ്ത്രീ']]"
['ആർട്ടിസ്റ്റിന് വിശേഷിപ്പിക്കാവുന്ന സിനിമകൾ'],['കലാകാരൻ'],"[['വിക്കി ക്രിസ്റ്റീന ബാഴ്‌സലോണ', 'ആന്ദ്രേ റൂബ്ലെവ്', ""കുതിരയുടെ വായ്"", 'ബാസ്‌ക്വിയറ്റ്']]"
['ഏത് സിനിമകളാണ് വെയ്ൻ വാങ്ങിനെക്കുറിച്ചുള്ളത്'],['വെയ്ൻ വാങ്'],"[['പുക', 'ചാൻ ഈസ് മിസ്സിംഗ്', 'ദി ജോയ് ലക്ക് ക്ലബ്']]"
വില്യം എസ്. ബറോസ്'],['വില്യം എസ്. ബറോസ്'],[['നഗ്ന ഉച്ചഭക്ഷണം']]
